Date,Open,High,Low,Close,Adjusted_close,Volume
2023-06-07,4.1,4.1,3.945,4.05,4.05,47026
2023-06-09,4.085,4.1,4.005,4.09,4.09,26714
2023-06-12,4.08,4.08,4.045,4.075,4.075,24156
2023-06-13,4.07,4.08,3.97,3.97,3.97,104267
2023-06-14,3.975,4.095,3.97,4.095,4.095,2365857
2023-06-15,4.1,4.1,3.97,4.09,4.09,83437
2023-06-16,4.1,4.12,4.03,4.08,4.08,159893
2023-06-19,4.07,4.14,4.07,4.11,4.11,23840
2023-06-20,4.075,4.11,4.055,4.09,4.09,26397
2023-06-21,4.09,4.09,4.055,4.07,4.07,14552
2023-06-22,4.09,4.15,4.065,4.09,4.09,108834
2023-06-23,4.09,4.15,4.055,4.055,4.055,60247
2023-06-26,4.055,4.135,3.94,3.94,3.94,96894
2023-06-27,3.98,4.1,3.92,4.08,4.08,93250
2023-06-28,4.2,4.26,4.185,4.205,4.205,266576
2023-06-29,4.21,4.245,4.17,4.23,4.23,116243
2023-06-30,4.23,4.28,4.12,4.26,4.26,163142
2023-07-03,4.3,4.495,4.3,4.495,4.495,124637
2023-07-04,4.5,4.83,4.495,4.75,4.75,934928
2023-07-05,4.78,4.93,4.61,4.68,4.68,503719
2023-07-06,4.68,4.74,4.55,4.71,4.71,142560
2023-07-07,4.71,4.8,4.62,4.795,4.795,217349
2023-07-10,4.8,4.895,4.77,4.85,4.85,187154
2023-07-11,4.87,4.915,4.8,4.915,4.915,219929
2023-07-12,4.9,4.915,4.835,4.85,4.85,106993
2023-07-13,4.565,4.565,4.39,4.44,4.44,185945
2023-07-14,4.44,4.795,4.43,4.68,4.68,222401
2023-07-17,4.67,5.0,4.67,4.825,4.825,323401
2023-07-18,4.83,4.9,4.83,4.875,4.875,45993
2023-07-19,4.85,4.875,4.75,4.785,4.785,176149
2023-07-20,4.79,4.79,4.61,4.7,4.7,142973
2023-07-21,4.7,4.815,4.625,4.81,4.81,112924
2023-07-24,4.9,4.95,4.46,4.565,4.565,384161
2023-07-25,4.62,4.62,4.52,4.59,4.59,127709
2023-07-26,4.64,4.64,4.46,4.46,4.46,88548
2023-07-27,4.46,4.7,4.46,4.69,4.69,281960
2023-07-28,4.72,4.72,4.62,4.695,4.695,37834
2023-07-31,4.695,4.9,4.69,4.895,4.895,218316
2023-08-01,4.9,4.94,4.83,4.9,4.9,112366
2023-08-02,4.87,4.87,4.71,4.71,4.71,83533
2023-08-03,4.7,4.74,4.635,4.635,4.635,45308
2023-08-04,4.635,4.7,4.63,4.68,4.68,34961
2023-08-07,4.65,4.65,4.55,4.61,4.61,54104
2023-08-08,4.55,4.635,4.55,4.585,4.585,76458
2023-08-09,4.57,4.685,4.56,4.605,4.605,102461
2023-08-10,4.635,4.67,4.57,4.66,4.66,59515
2023-08-11,4.66,4.87,4.59,4.87,4.87,162837
2023-08-14,4.805,4.85,4.675,4.675,4.675,57010
2023-08-16,4.685,4.79,4.61,4.64,4.64,82858
2023-08-17,4.61,4.7,4.61,4.63,4.63,82463
2023-08-18,4.65,4.79,4.615,4.735,4.735,52930
2023-08-21,4.7,4.8,4.65,4.75,4.75,36982
2023-08-22,4.75,4.75,4.63,4.68,4.68,45907
2023-08-23,4.68,4.7,4.57,4.605,4.605,137487
2023-08-24,4.6,4.69,4.6,4.65,4.65,27255
2023-08-25,4.66,4.69,4.61,4.67,4.67,34644
2023-08-28,4.64,4.67,4.64,4.67,4.67,13219
2023-08-29,4.665,4.73,4.625,4.67,4.67,34076
2023-08-30,4.65,4.7,4.65,4.67,4.67,46926
2023-08-31,4.68,4.73,4.645,4.73,4.73,44306
